ad_viz_plotval_data-41
Date,Source,Site ID,POC,Daily Mean PM2.5 Concentration,Units,Daily AQI Value,Local Site Name,Daily Obs Count,Percent Complete,AQS Parameter Code,AQS Parameter Description,Method Code,Method Description,CBSA Code,CBSA Name,State FIPS Code,State,County FIPS Code,County,Site Latitude,Site Longitude
01/24/2021,AQS,410010004,3,7.6,ug/m3 LC,42,Baker City - US Forest Service (BFS),1,100.0000,88502,Acceptable PM2.5 AQI & Speciation Mass,771,Correlated Radiance Research M903 With Heated Inlet,,,41,Oregon,1,Baker,44.78822,-117.8446
01/25/2021,AQS,410010004,3,9.2,ug/m3 LC,51,Baker City - US Forest Service (BFS),1,100.0000,88502,Acceptable PM2.5 AQI & Speciation Mass,771,Correlated Radiance Research M903 With Heated Inlet,,,41,Oregon,1,Baker,44.78822,-117.8446
01/26/2021,AQS,410010004,3,4.3,ug/m3 LC,24,Baker City - US Forest Service (BFS),1,100.0000,88502,Acceptable PM2.5 AQI & Speciation Mass,771,Correlated Radiance Research M903 With Heated Inlet,,,41,Oregon,1,Baker,44.78822,-117.8446
01/27/2021,AQS,410010004,3,3.5,ug/m3 LC,19,Baker City - US Forest Service (BFS),1,100.0000,88502,Acceptable PM2.5 AQI & Speciation Mass,771,Correlated Radiance Research M903 With Heated Inlet,,,41,Oregon,1,Baker,44.78822,-117.8446
01/28/2021,AQS,410010004,3,3.6,ug/m3 LC,20,Baker City - US Forest Service (BFS),1,100.0000,88502,Acceptable PM2.5 AQI & Speciation Mass,771,Correlated Radiance Research M903 With Heated Inlet,,,41,Oregon,1,Baker,44.78822,-117.8446
01/29/2021,AQS,410010004,3,18.7,ug/m3 LC,69,Baker City - US Forest Service (BFS),1,100.0000,88502,Acceptable PM2.5 AQI & Speciation Mass,771,Correlated Radiance Research M903 With Heated Inlet,,,41,Oregon,1,Baker,44.78822,-117.8446
01/30/2021,AQS,410010004,3,4.1,ug/m3 LC,23,Baker City - US Forest Service (BFS),1,100.0000,88502,Acceptable PM2.5 AQI & Speciation Mass,771,Correlated Radiance Research M903 With Heated Inlet,,,41,Oregon,1,Baker,44.78822,-117.8446
01/31/2021,AQS,410010004,3,3.7,ug/m3 LC,21,Baker City - US Forest Service (BFS),1,100.0000,88502,Acceptable PM2.5 AQI & Speciation Mass,771,Correlated Radiance Research M903 With Heated Inlet,,,41,Oregon,1,Baker,44.78822,-117.8446
02/01/2021,AQS,410010004,3,4.2,ug/m3 LC,23,Baker City - US Forest Service (BFS),1,100.0000,88502,Acceptable PM2.5 AQI & Speciation Mass,771,Correlated Radiance Research M903 With Heated Inlet,,,41,Oregon,1,Baker,44.78822,-117.8446
02/02/2021,AQS,410010004,3,3.2,ug/m3 LC,18,Baker City - US Forest Service (BFS),1,100.0000,88502,Acceptable PM2.5 AQI & Speciation Mass,771,Correlated Radiance Research M903 With Heated Inlet,,,41,Oregon,1,Baker,44.78822,-117.8446
02/03/2021,AQS,410010004,3,3.5,ug/m3 LC,19,Baker City - US Forest Service (BFS),1,100.0000,88502,Acceptable PM2.5 AQI & Speciation Mass,771,Correlated Radiance Research M903 With Heated Inlet,,,41,Oregon,1,Baker,44.78822,-117.8446
02/04/2021,AQS,410010004,3,9,ug/m3 LC,50,Baker City - US Forest Service (BFS),1,100.0000,88502,Acceptable PM2.5 AQI & Speciation Mass,771,Correlated Radiance Research M903 With Heated Inlet,,,41,Oregon,1,Baker,44.78822,-117.8446
02/05/2021,AQS,410010004,3,7.5,ug/m3 LC,42,Baker City - US Forest Service (BFS),1,100.0000,88502,Acceptable PM2.5 AQI & Speciation Mass,771,Correlated Radiance Research M903 With Heated Inlet,,,41,Oregon,1,Baker,44.78822,-117.8446
02/06/2021,AQS,410010004,3,4.1,ug/m3 LC,23,Baker City - US Forest Service (BFS),1,100.0000,88502,Acceptable PM2.5 AQI & Speciation Mass,771,Correlated Radiance Research M903 With Heated Inlet,,,41,Oregon,1,Baker,44.78822,-117.8446
